City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Avera,US,2021-04-27 23:22:29,33.194,-82.5271,80.6,47,1,4.61
260,Mahanoro,MG,2021-04-27 23:22:29,-19.9,48.8,71.8,92,89,5.95
261,Bodden Town,KY,2021-04-27 23:22:29,19.2833,-81.25,84.2,70,20,10.36
262,Shenjiamen,CN,2021-04-27 23:22:29,29.9576,122.298,60.64,95,100,6.53
263,Saint-Pierre,RE,2021-04-27 23:19:40,-21.3393,55.4781,75.2,83,0,8.05
264,Shingu,JP,2021-04-27 23:22:30,33.7333,135.9833,64.4,77,75,11.5
265,Roma,US,2021-04-27 23:22:30,43.2128,-75.4557,64.4,32,1,4.59
266,Abu Samrah,SY,2021-04-27 23:22:30,35.3029,37.1841,57.61,77,0,8.28
267,Okhotsk,RU,2021-04-27 23:22:31,59.3833,143.3,28.72,83,91,0.36
268,Salalah,OM,2021-04-27 23:22:31,17.0151,54.0924,82.4,74,0,3.44
269,Ossora,RU,2021-04-27 23:22:31,59.2353,163.0719,30.54,65,100,5.66
270,Turayf,SA,2021-04-27 23:22:31,31.6725,38.6637,62.6,51,0,8.05
271,Phalodi,IN,2021-04-27 23:22:32,27.1333,72.3667,82.72,25,0,10.76
272,Bluff,NZ,2021-04-27 23:22:32,-46.6,168.3333,52.0,82,100,4.0
273,Wanning,CN,2021-04-27 23:22:32,18.8003,110.3967,75.52,90,49,3.02
274,Taoudenni,ML,2021-04-27 23:22:33,22.6783,-3.9836,93.76,13,43,10.54
275,Sechura,PE,2021-04-27 23:22:33,-5.5569,-80.8222,74.77,65,67,18.43
276,Qasigiannguit,GL,2021-04-27 23:22:33,68.8193,-51.1922,35.6,69,75,6.71
277,Nizwa,OM,2021-04-27 23:22:34,22.9333,57.5333,81.43,23,86,1.41
278,Store Heddinge,DK,2021-04-27 23:22:34,55.3097,12.3889,42.01,86,59,1.14
279,Kamaishi,JP,2021-04-27 23:22:34,39.2667,141.8833,46.4,66,75,1.14
280,Tpig,RU,2021-04-27 23:22:34,41.7801,47.589,46.99,87,100,7.29
281,Khatanga,RU,2021-04-27 23:22:35,71.9667,102.5,23.86,81,100,8.01
282,Nanortalik,GL,2021-04-27 23:22:35,60.1432,-45.2371,33.42,91,6,8.08
283,Whitley Bay,GB,2021-04-27 23:22:35,55.0397,-1.4471,43.0,93,90,9.22
